Enumeration,Hur_nr,Root,Hur_late,Book,Chapter,Verse,Occu_verse,ChrS_ChrN,Notes
1,1,AGRT,1,esth,9,26,1,,
2,1,AGRT,1,esth,9,29,1,,
3,1,AGRT,1,neh,2,7,1,,
4,1,AGRT,1,neh,2,8,1,,
5,1,AGRT,1,neh,2,9,1,,
6,1,AGRT,1,neh,6,5,1,,
7,1,AGRT,1,neh,6,17,1,,
8,1,AGRT,1,neh,6,19,1,,
9,1,AGRT,1,2chr,30,1,1,ChrN,
10,1,AGRT,1,2chr,30,6,1,ChrN,
11,2,ADR,1,esth,3,7,1,,
12,2,ADR,1,esth,3,13,1,,
13,2,ADR,1,esth,8,12,1,,
14,2,ADR,1,esth,9,1,1,,
15,2,ADR,1,esth,9,15,1,,
16,2,ADR,1,esth,9,17,1,,
17,2,ADR,1,esth,9,19,1,,
18,2,ADR,1,esth,9,21,1,,
19,3,ADRKN,1,ezra,8,27,1,,
20,3,ADRKN,1,1chr,29,7,1,ChrN,
21,4,AXR ZH AXRJ (KL) ZAT,1,job,42,16,1,,
22,4,AXR ZH AXRJ (KL) ZAT,1,ezra,9,10,1,,
23,4,AXR ZH AXRJ (KL) ZAT,1,2chr,21,18,1,ChrN,
24,4,AXR ZH AXRJ (KL) ZAT,1,2chr,32,9,1,ChrN,
25,4,AXR ZH AXRJ (KL) ZAT,1,2chr,35,20,1,ChrN,
26,5,AJN + inf.,1,qoh,3,14,2,,
27,5,AJN + inf.,1,esth,4,2,1,,
28,5,AJN + inf.,1,esth,8,8,1,,
29,5,AJN + inf.,1,ezra,9,15,1,,
30,5,AJN + inf.,1,1chr,23,26,1,ChrN,
31,5,AJN + inf.,1,2chr,5,11,1,ChrN,
32,5,AJN + inf.,1,2chr,20,6,1,ChrN,
33,6,ALWL,1,neh,6,15,1,,
34,7,ARY JFRAL,1,1sam,13,19,1,,
35,7,ARY JFRAL,1,2kgs,5,2,1,,
36,7,ARY JFRAL,1,2kgs,5,4,1,,
37,7,ARY JFRAL,1,2kgs,6,23,1,,
38,7,ARY JFRAL,1,ezek,27,17,1,,
39,7,ARY JFRAL,1,ezek,40,2,1,,
40,7,ARY JFRAL,1,ezek,47,18,1,,
41,7,ARY JFRAL,1,1chr,13,2,1,ChrN,
42,7,ARY JFRAL,1,1chr,22,2,1,ChrN,
43,7,ARY JFRAL,1,2chr,2,16,1,ChrN,
44,7,ARY JFRAL,1,2chr,30,25,1,ChrN,
45,7,ARY JFRAL,1,2chr,34,7,1,ChrN,
46,8,BHL,1,prov,20,21,1,,Qere
47,8,BHL,1,qoh,5,1,1,,
48,8,BHL,1,qoh,7,9,1,,
49,8,BHL,1,qoh,8,3,1,,
50,8,BHL,1,esth,2,9,1,,
51,8,BHL,1,esth,6,14,1,,
52,8,BHL,1,esth,8,14,1,,
53,8,BHL,1,2chr,26,20,1,ChrN,
54,8,BHL,1,2chr,35,21,1,ChrN,
55,9,BWY,1,ezek,27,16,1,,
56,9,BWY,1,esth,1,6,1,,
57,9,BWY,1,esth,8,15,1,,
58,9,BWY,1,1chr,4,21,1,ChrN,
59,9,BWY,1,1chr,15,27,1,ChrN,
60,9,BWY,1,2chr,2,13,1,ChrN,
61,9,BWY,1,2chr,3,14,1,ChrN,
62,9,BWY,1,2chr,5,12,1,ChrN,
63,10,BZH,1,esth,9,10,1,,
64,10,BZH,1,esth,9,15,1,,
65,10,BZH,1,esth,9,16,1,,
66,10,BZH,1,dan,11,24,1,,
67,10,BZH,1,dan,11,33,1,,
68,10,BZH,1,ezra,9,7,1,,
69,10,BZH,1,neh,3,36,1,,
70,10,BZH,1,2chr,14,13,1,ChrN,
71,10,BZH,1,2chr,25,13,1,ChrN,
72,10,BZH,1,2chr,28,14,1,ChrN,
73,11,BJRH,1,esth,1,2,1,,
74,11,BJRH,1,esth,1,5,1,,
75,11,BJRH,1,esth,2,3,1,,
76,11,BJRH,1,esth,2,5,1,,
77,11,BJRH,1,esth,2,8,1,,
78,11,BJRH,1,esth,3,15,1,,
79,11,BJRH,1,esth,8,14,1,,
80,11,BJRH,1,esth,9,6,1,,
81,11,BJRH,1,esth,9,11,1,,
82,11,BJRH,1,esth,9,12,1,,
83,11,BJRH,1,dan,8,2,1,,
84,11,BJRH,1,neh,1,1,1,,
85,11,BJRH,1,neh,2,8,1,,
86,11,BJRH,1,neh,7,2,1,,
87,11,BJRH,1,1chr,29,1,1,ChrN,
88,11,BJRH,1,1chr,29,19,1,ChrN,
89,11,BJRH,1,2chr,17,12,1,ChrN,
90,11,BJRH,1,2chr,27,4,1,ChrN,
91,12,BJT (H)AWYR,1,mal,3,10,1,,
92,12,BJT (H)AWYR,1,dan,1,2,1,,
93,12,BJT (H)AWYR,1,neh,10,39,1,,
94,13,BJT HKPRT,1,1chr,28,11,1,ChrN,
95,14,BJT MQDC,1,2chr,36,17,1,ChrN,
96,15,BJT QBRWT,1,neh,2,3,1,,
97,16,BJT QDC HQDCJM,1,2chr,3,8,1,ChrN,
98,16,BJT QDC HQDCJM,1,2chr,3,10,1,ChrN,
99,17,BNJN,1,ezek,40,5,1,,
100,17,BNJN,1,ezek,41,12,2,,
101,17,BNJN,1,ezek,41,15,1,,
102,17,BNJN,1,ezek,42,1,1,,
103,17,BNJN,1,ezek,42,5,1,,
104,17,BNJN,1,ezek,42,10,1,,
105,18,BET,1,esth,7,6,1,,
106,18,BET,1,dan,8,17,1,,
107,18,BET,1,1chr,21,30,1,ChrN,
108,19,BQCH,1,esth,5,3,1,,
109,19,BQCH,1,esth,5,6,1,,
110,19,BQCH,1,esth,5,7,1,,
111,19,BQCH,1,esth,5,8,1,,
112,19,BQCH,1,esth,7,2,1,,
113,19,BQCH,1,esth,7,3,1,,
114,19,BQCH,1,esth,9,12,1,,
115,19,BQCH,1,ezra,7,6,1,,
116,20,BRWK ATH JHWH,1,ps,119,12,1,,
117,20,BRWK ATH JHWH,1,1chr,29,10,1,ChrN,
118,21,GZBR,1,ezra,1,8,1,,
119,22,GNZ,1,esth,4,7,1,,
120,22,GNZ,1,ezra,3,9,1,,
121,23,GNZK,1,1chr,28,11,1,ChrN,
122,24,DWX,1,ezek,40,38,1,,
123,24,DWX,1,2chr,4,6,1,ChrN,
124,25,DWJD,1,1kgs,3,14,1,,
125,25,DWJD,1,1kgs,11,4,1,,
126,25,DWJD,1,1kgs,11,36,1,,
127,25,DWJD,1,ezek,34,23,1,,
128,25,DWJD,1,amos,6,5,1,,
129,25,DWJD,1,amos,9,11,1,,
130,25,DWJD,1,zech,12,7,1,,
131,25,DWJD,1,zech,12,8,2,,
132,25,DWJD,1,zech,12,10,1,,
133,25,DWJD,1,zech,12,12,1,,
134,25,DWJD,1,zech,13,1,1,,
135,25,DWJD,1,ps,122,5,1,,
136,25,DWJD,1,song,4,4,1,,
137,25,DWJD,1,ezra,3,10,1,,
138,25,DWJD,1,ezra,8,2,1,,
139,25,DWJD,1,ezra,8,20,1,,
140,25,DWJD,1,neh,3,15,1,,
141,25,DWJD,1,neh,3,16,1,,
142,25,DWJD,1,neh,12,24,1,,
143,25,DWJD,1,neh,12,36,1,,
144,25,DWJD,1,neh,12,37,2,,
145,25,DWJD,1,neh,12,45,1,,
146,25,DWJD,1,neh,12,46,1,,
147,25,DWJD,1,1chr,2,15,1,ChrN,
148,25,DWJD,1,1chr,3,1,1,ChrN,
149,25,DWJD,1,1chr,3,9,1,ChrN,
150,25,DWJD,1,1chr,4,31,1,ChrN,
151,25,DWJD,1,1chr,6,16,1,ChrN,
152,25,DWJD,1,1chr,7,2,1,ChrN,
153,25,DWJD,1,1chr,9,22,1,ChrN,
154,25,DWJD,1,1chr,10,14,1,ChrN,
155,25,DWJD,1,1chr,11,1,1,ChrN,
156,25,DWJD,1,1chr,11,3,2,ChrN,
157,25,DWJD,1,1chr,11,4,1,ChrN,
158,25,DWJD,1,1chr,11,5,3,ChrN,
159,25,DWJD,1,1chr,11,6,1,ChrN,
160,25,DWJD,1,1chr,11,7,2,ChrN,
161,25,DWJD,1,1chr,11,9,1,ChrN,
162,25,DWJD,1,1chr,11,10,1,ChrN,
163,25,DWJD,1,1chr,11,11,1,ChrN,
164,25,DWJD,1,1chr,11,13,1,ChrN,
165,25,DWJD,1,1chr,11,15,1,ChrN,
166,25,DWJD,1,1chr,11,16,1,ChrN,
167,25,DWJD,1,1chr,11,17,1,ChrN,
168,25,DWJD,1,1chr,11,18,2,ChrN,
169,25,DWJD,1,1chr,11,25,1,ChrN,
170,25,DWJD,1,1chr,12,1,1,ChrN,
171,25,DWJD,1,1chr,12,9,1,ChrN,
172,25,DWJD,1,1chr,12,17,1,ChrN,
173,25,DWJD,1,1chr,12,18,1,ChrN,
174,25,DWJD,1,1chr,12,19,2,ChrN,
175,25,DWJD,1,1chr,12,20,1,ChrN,
176,25,DWJD,1,1chr,12,22,1,ChrN,
177,25,DWJD,1,1chr,12,23,1,ChrN,
178,25,DWJD,1,1chr,12,24,1,ChrN,
179,25,DWJD,1,1chr,12,32,1,ChrN,
180,25,DWJD,1,1chr,12,39,2,ChrN,
181,25,DWJD,1,1chr,12,40,1,ChrN,
